485
1	1	4	2	3	312.8809	0.6495188157457199
2	2	5	3	4	204.86220500000002	0.46000896733811
3	3	6	4	5	175.69641000000001	0.40591114789759747
4	4	7	5	6	169.263315	0.3937620443047774
5	5	8	6	7	123.073565	0.30373155528485146
6	6	9	7	8	139.288595	0.33595196892741647
7	7	10	8	9	88.817015	0.23285291270014677
8	8	11	9	10	64.012265	0.17832559388266553
9	9	12	10	11	74.211015	0.2011488150193085
10	10	13	11	12	70.718685	0.19340324008371415
11	11	14	12	13	75.8723	0.2048094997444266
12	12	15	13	14	57.388270000000006	0.16314258273709462
13	13	16	14	15	83.95492	0.2224148734302815
14	14	17	15	16	74.79382000000001	0.20243475387511736
15	15	18	16	17	141.79964999999999	0.3408775778396348
16	16	19	17	18	105.2687	0.2674263947001905
17	17	20	18	19	139.63477	0.3366319871846155
18	18	21	19	20	130.00862999999998	0.31760275553804584
19	19	22	20	21	116.50473500000001	0.29045865475785826
20	20	23	21	22	101.998085	0.2606380798070705
21	21	24	22	23	108.02055	0.2731077271119631
22	22	25	23	24	83.136865	0.22064779056342787
23	23	26	24	25	97.50883	0.25125419334683063
24	24	27	25	26	71.590565	0.19534347957743056
25	25	28	26	27	80.892665	0.21578340923618367
26	26	29	27	28	70.2027	0.19225290524668656
27	27	30	28	29	55.144885	0.15792815579031863
28	28	31	29	30	31.440208	0.09992459966584052
29	29	32	30	31	32.93322	0.10377346712573605
30	30	33	31	32	29.965711	0.09609005786149177
31	31	34	32	33	27.920375	0.09071235306134552
32	32	35	33	34	25.759624000000002	0.08495111528411112
33	33	36	34	35	31.210637000000002	0.09932981209779797
34	34	37	35	36	29.659950000000002	0.09529057100039685
35	35	38	36	37	28.263039	0.09161826285436159
36	36	39	37	38	32.56725	0.10283307313615836
37	37	40	38	39	35.594752	0.11055584618128715
38	38	41	39	40	28.499476	0.0922421500552042
39	39	42	40	41	33.819	0.1060416005264444
40	40	43	41	42	43.34778	0.129807241386986
41	41	44	42	43	32.2372	0.10198329798426754
42	42	45	43	44	51.020316	0.14823671247718725
43	43	46	44	45	53.626585	0.15437680029207437
44	44	47	45	46	41.87773	0.12620967482183845
45	45	48	46	47	65.59270000000001	0.1819041264288664
46	46	49	47	48	56.40343	0.1608582045925008
47	47	50	48	49	106.154485	0.2692581135479711
48	48	51	49	50	110.463785	0.2781294496802724
49	49	52	50	51	170.143955	0.3954301500027499
50	50	53	51	52	129.58929999999998	0.31676799640957976
51	51	54	52	53	163.048515	0.38194364782017415
52	52	55	53	54	150.1999	0.3572397880876009
53	53	56	54	55	155.8757	0.36819899380424403
54	54	57	55	56	108.62732	0.2743568041819674
55	55	58	56	57	179.77132	0.41356399815403144
56	1	7	3	5	53.06948	0.15306905905362636
57	2	8	4	6	37.395703999999995	0.11509170496772884
58	3	9	5	7	37.004228999999995	0.11410925045976401
59	4	10	6	8	34.245869	0.10713069982981081
60	5	11	7	9	34.20034	0.1070146590629719
61	6	12	8	10	27.899904	0.0906581683264304
62	7	13	9	11	30.46629	0.09739569100209959
63	8	14	10	12	41.358526999999995	0.12493349724287207
64	9	15	11	13	46.706188	0.13794287167590644
65	10	16	12	14	41.7029	0.12578027985628035
66	11	17	13	15	42.896034	0.12870415233019106
67	12	18	14	16	54.277865000000006	0.15590241912080305
68	13	19	15	17	69.836315	0.19143513665826054
69	14	20	16	18	61.444865	0.17247709134945582
70	15	21	17	19	57.6246	0.16368967518975894
71	16	22	18	20	61.906065	0.17353098545938883
72	17	23	19	21	66.97847999999999	0.1850287688559791
73	18	24	20	22	57.99472	0.1645456503271598
74	19	25	21	23	54.341685	0.15605173389393434
75	20	26	22	24	52.118601	0.1508310760391231
76	21	27	23	25	45.106519	0.13408174968078618
77	22	28	24	26	32.621426	0.10297240643925773
78	23	29	25	27	30.539158	0.09758541576518036
79	24	30	26	28	40.193327	0.12205859673224184
80	25	31	27	29	40.748753	0.12343090046310777
81	26	32	28	30	21.035546	0.07202658247492452
82	27	33	29	31	13.986232000000001	0.05165307964335434
83	28	34	30	32	16.630213666666666	0.059477735886452845
84	29	35	31	33	16.581375666666666	0.05933540603802598
85	30	36	32	34	13.183157999999999	0.04922382430597145
86	31	37	33	35	15.207982333333334	0.05530001044325994
87	32	38	34	36	15.909412666666666	0.057369074871519286
88	33	39	35	37	11.90172	0.04528951006664795
89	34	40	36	38	12.289902333333334	0.04648925440032751
90	35	41	37	39	13.667061	0.05069078502210774
91	36	42	38	40	10.963690333333334	0.04235975683819406
92	37	43	39	41	10.330943333333334	0.04035730889448902
93	38	44	40	42	13.345196	0.04971613959574965
94	39	45	41	43	12.343331333333335	0.046653831597095394
95	40	46	42	44	12.029150333333334	0.04568414409920662
96	41	47	43	45	12.594467666666667	0.04742564882306953
97	42	48	44	46	12.084999	0.045856855084752256
98	43	49	45	47	13.394687666666666	0.049866287276451114
99	44	50	46	48	19.242067	0.06698302270184568
100	45	51	47	49	29.888698000000005	0.09588883160876253
101	46	52	48	50	42.736349000000004	0.12831371371377917
102	47	53	49	51	44.49906	0.13260891108836184
103	48	54	50	52	23.238893	0.0781151499726122
104	49	55	51	53	30.400103	0.09722328849823522
105	50	56	52	54	55.12178	0.15787424938675507
106	51	57	53	55	62.743465	0.17544083014924927
107	52	58	54	56	35.555555999999996	0.11045666140434363
108	1	10	4	7	17.406620000000004	0.06173020857451318
109	2	11	5	8	15.196104	0.05526482169978346
110	3	12	6	9	13.281813	0.04952369757238655
111	4	13	7	10	12.52262	0.04720513317951703
112	5	14	8	11	14.567261	0.05339451775232679
